iter	Passed	Remaining
1334	3656882	451974
1335	3659340	449200
1336	3661762	446422
1337	3664171	443644
1338	3666812	440893
1339	3669391	438136
1340	3671930	435374
1341	3674539	432620
1342	3676931	429842
1343	3679524	427087
1344	3682056	424326
1345	3684489	421553
1346	3686977	418788
1347	3689425	416018
1348	3691977	413260
1349	3694521	410502
1350	3696940	407730
1351	3699439	404968
1352	3701873	402199
1353	3704478	399448
1354	3707126	396703
1355	3709598	393939
1356	3711988	391167
1357	3714340	388392
1358	3716728	385620
1359	3719151	382853
1360	3721495	380079
1361	3723933	377314
1362	3726480	374561
1363	3728994	371805
1364	3731558	369055
1365	3734129	366305
1366	3736677	363553
1367	3739153	360795
1368	3741766	358050
1369	3744368	355305
1370	3746942	352556
1371	3749523	349809
1372	3752046	347057
1373	3754538	344302
1374	3757046	341549
1375	3759679	338808
1376	3762084	336046
1377	3764504	333287
1378	3767001	330534
1379	3769527	327784
1380	3772121	325041
1381	3774650	322292
1382	3777117	319539
1383	3779579	316785
1384	3782102	314037
1385	3784779	311302
1386	3787300	308554
1387	3789773	305803
1388	3792364	303061
1389	3794855	300312
1390	3797345	297563
1391	3799956	294824
1392	3802566	292085
1393	3805193	289347
1394	3807670	286598
1395	3810277	283860
1396	3812741	281111
1397	3815289	278368
1398	3817906	275631
1399	3820412	272886
1400	3823050	270151
1401	3825534	267405
1402	3827980	264657
1403	3830478	261913
1404	3833064	259175
1405	3835651	256437
1406	3838238	253700
1407	3840733	250957
